epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,112.98,0.55198,0.66793,1.0114,0.94596,0.95,0.98136,0.82323,0.64014,0.7154,1.05312,0.00119883,0.00119883,0.00119883
70,114.421,0.56549,0.72415,0.98415,0.94572,0.95,0.98136,0.80686,0.66641,0.71647,1.04285,0.00113384,0.00113384,0.00113384
71,115.848,0.56121,0.74288,0.9682,0.9452,0.95,0.98136,0.82175,0.63685,0.70146,1.0423,0.00107023,0.00107023,0.00107023
72,117.327,0.57242,0.76127,0.94782,0.95096,0.95777,0.98591,0.80571,0.63446,0.66722,1.062,0.00100806,0.00100806,0.00100806
73,118.787,0.50806,0.69354,0.93301,0.9248,0.99635,0.99045,0.80727,0.66396,0.66631,1.06825,0.000947376,0.000947376,0.000947376
74,120.266,0.59731,0.8186,0.95499,0.93776,0.99651,0.99045,0.83118,0.64361,0.63663,1.06028,0.000888253,0.000888253,0.000888253
75,121.721,0.52494,0.72229,0.96478,0.93798,0.99622,0.99045,0.82054,0.66018,0.63631,1.06006,0.000830746,0.000830746,0.000830746
76,123.18,0.54136,0.70798,0.94641,0.94076,0.95,0.97682,0.80322,0.66912,0.65898,1.06363,0.000774911,0.000774911,0.000774911
77,124.66,0.52437,0.6862,0.96834,0.94218,0.95,0.97227,0.8103,0.67444,0.66672,1.06404,0.000720803,0.000720803,0.000720803
78,126.186,0.51255,0.69846,0.94346,0.94427,0.95,0.96773,0.80389,0.69453,0.66667,1.0766,0.000668475,0.000668475,0.000668475
79,127.659,0.45411,0.6343,0.91326,0.9457,0.95,0.96773,0.81339,0.67742,0.66136,1.05816,0.00061798,0.00061798,0.00061798
80,129.129,0.58076,0.70091,0.97194,0.91906,0.99679,0.98136,0.82565,0.66192,0.66018,1.05245,0.000569366,0.000569366,0.000569366
81,130.569,0.47867,0.65926,0.92839,0.9197,0.99715,0.98591,0.82811,0.649,0.6496,1.05932,0.000522683,0.000522683,0.000522683
82,132.04,0.47316,0.66766,0.93147,0.91998,0.99716,0.99045,0.83294,0.64529,0.65329,1.05296,0.000477976,0.000477976,0.000477976
83,133.526,0.4825,0.67579,0.91997,0.92051,0.99714,0.99045,0.83806,0.64145,0.64443,1.04478,0.000435288,0.000435288,0.000435288
84,134.956,0.43527,0.62322,0.92934,0.92158,0.9971,0.99045,0.82588,0.64425,0.64395,1.0396,0.000394663,0.000394663,0.000394663
85,136.397,0.49709,0.6697,0.98443,0.92221,0.99705,0.99045,0.83612,0.63678,0.64143,1.03431,0.000356141,0.000356141,0.000356141
86,137.857,0.41812,0.61285,0.91159,0.92247,0.99704,0.99045,0.83688,0.62646,0.62797,1.01843,0.000319759,0.000319759,0.000319759
87,139.288,0.4276,0.64978,0.92983,0.92285,0.99702,0.99045,0.83194,0.62391,0.62222,1.01414,0.000285553,0.000285553,0.000285553
88,140.811,0.43457,0.61225,0.91131,0.94506,0.95,0.98591,0.83341,0.62077,0.62022,1.00371,0.000253557,0.000253557,0.000253557
89,142.243,0.45378,0.63386,0.90367,0.94413,0.95,0.98591,0.84123,0.63353,0.63219,1.00536,0.000223803,0.000223803,0.000223803
90,143.748,0.5102,0.65412,0.95508,0.94234,0.95,0.97758,0.80262,0.64921,0.65224,1.0112,0.00019632,0.00019632,0.00019632
91,150.877,0.35849,0.82705,0.84461,0.94153,0.95,0.97303,0.81562,0.64634,0.66172,1.00875,0.000171135,0.000171135,0.000171135
92,152.414,0.33281,0.75265,0.84108,0.93967,0.95,0.96073,0.81143,0.64304,0.67797,1.00432,0.000148273,0.000148273,0.000148273
93,153.883,0.33321,0.77739,0.85777,0.93891,0.95,0.96073,0.81143,0.64163,0.68588,1.0008,0.000127757,0.000127757,0.000127757
94,155.347,0.31837,0.73814,0.82915,0.93783,0.95,0.95561,0.80537,0.63851,0.70091,0.99856,0.000109606,0.000109606,0.000109606
95,156.754,0.32355,0.78091,0.84807,0.93577,0.95,0.95561,0.80095,0.64227,0.70836,1.00093,9.38391e-05,9.38391e-05,9.38391e-05
96,158.236,0.32831,0.76644,0.83772,0.93283,0.94916,0.94443,0.79272,0.64281,0.72144,1.00052,8.04714e-05,8.04714e-05,8.04714e-05
97,159.666,0.30432,0.73032,0.84132,0.93092,0.94853,0.9395,0.78904,0.64588,0.72532,1.00248,6.95161e-05,6.95161e-05,6.95161e-05
98,161.129,0.31798,0.76517,0.84673,0.92632,0.9474,0.93818,0.78832,0.64563,0.72968,1.00377,6.09841e-05,6.09841e-05,6.09841e-05
99,162.554,0.30033,0.74363,0.83438,0.92506,0.94697,0.93818,0.789,0.64342,0.72814,1.0032,5.48838e-05,5.48838e-05,5.48838e-05
100,164.038,0.32449,0.73778,0.83172,0.91399,0.94526,0.93699,0.77965,0.64561,0.73403,1.00811,5.12213e-05,5.12213e-05,5.12213e-05
